ticket_id,ticket_trace/contact
100,"100-822-1157-79530-95287-109959-129043-146402-181117-205684-220328-280716-282502-306045-379958-437044-451994-475973, 38"
101,"101-54178-56651-360820-415852, 14"
102,"102-466297, 5"
103,"103-2788-26590-298414-336851-337168-429453, 17"
104,"104, 2"
105,"105-5597-15905-68965-89832-290943-360283-484596-486426, 16"
106,"106-856-164892-298789-478387-494415, 6"
107,"107-465-178290-280212-316970, 12"
108,"108-68001-87503-97890-109593-181236-470335, 16"
109,"109-294-237280, 11"
110,"110-60486-63603-157993-429244-460054, 3"
111,"111, 4"
112,"112-135-65778-182934-188141-240831-289600-397798-429441-456371-463263-467248, 27"
113,"113-409673-413629, 4"
114,"114, 4"
115,"115-215373-303417, 7"
116,"116-17086-19803-30727-48616-75473-95005-221885-275026-292480-301164-302539-365527-366421-379989-384752-388164-415826-471003-478195-494089-498208, 39"
117,"117-184856-355948, 5"
118,"118-18056-323184, 5"
119,"119-83681-177581-301632-437059, 10"
120,"120, 2"
121,"121-12840-23604-68014-116467-465574, 7"
122,"122, 1"
123,"123-93061-334454-349627-462949-491626, 7"
124,"124-96409-216113, 4"
125,"125, 1"
126,"126, 1"
127,"127-76310-449222, 7"
128,"128-429492, 5"
129,"129-106690-121941, 6"
130,"130, 3"
131,"131-39449-222540-366341-400892-481588-492598, 11"
132,"132-14271-34614-127193-137580-156051-162374-166962-170043-181603-187111-217593-257791-278357-289324-349079-367644-369744-453735-468043, 42"
133,"133-97036-445333, 1"
134,"134, 0"
135,"112-135-65778-182934-188141-240831-289600-397798-429441-456371-463263-467248, 27"
136,"136-69515-108365-473933, 8"
137,"137-107753, 6"
138,"138-106827-188357-216438-241143-281849-389414-428562, 15"
139,"139, 1"
140,"140-304532, 3"
141,"141-99896, 5"
142,"142, 1"
143,"143, 4"
144,"144, 0"
145,"145-89646-217781-234084-290087-365222-410226-425856, 14"
146,"146-298152, 5"
147,"147, 2"
148,"148-33408-81493-271214-286693-303270, 13"
149,"149-30279, 5"
150,"150, 1"
151,"151, 2"
152,"152-359279, 5"
153,"153-76417, 6"
154,"154-105122, 3"
155,"155-81016-485385, 8"
156,"156, 2"
157,"157, 3"
158,"158-313250, 5"
159,"159, 2"
160,"160-88820-173595-213755, 10"
161,"161-10153-44305-72835-88731-171974-293201-349911-380974-483377, 20"
162,"162, 1"
163,"163-79377-280419-405439, 7"
164,"164-937-1259-1610-12101-14883-56600-57027-76148-110666-145523-160154-282091-411076-477605, 32"
165,"165, 3"
166,"166, 4"
167,"167, 2"
168,"168-386-209740-392461, 12"
169,"169, 0"
170,"170, 1"
171,"171-29356-42724-70858-90425-163627-474980-479996, 14"
172,"172, 3"
173,"173-133089, 6"
174,"174-4484-459442, 5"
175,"175, 3"
176,"176-304820-311652, 7"
177,"177-483854, 5"
178,"178-1299-1918-9437-14178-40898-73139-74088-90912-110829-121708-123015-166455-169144-183274-190954-198810-203228-224509-242675-268841-300059-323713-338541-342439-342853-363579-384322-397156-398477-399635-428730-473009-480875, 69"
179,"179, 1"
180,"180-14872-268358-415071, 11"
181,"181, 4"
182,"182-6268-107985-223401-313867-465204, 14"
183,"183-30462-41173-86814-176299-221556-351621-406688-407066-476029-483939, 22"
184,"184-405992, 5"
185,"185-13333-118012-203759-288495-356636-360010-496266, 17"
186,"186, 4"
187,"187-111412, 4"
188,"188, 2"
189,"189, 3"
190,"190-16313-119170-201448-295936-437023-437671, 8"
191,"191, 0"
192,"192-173505-174551-257865-291979, 12"
193,"193-79361, 8"
194,"194-4132-205205, 4"
195,"195, 0"
196,"196-101723-115356-150332-269570-290992-291687-359225, 13"
197,"197, 3"
198,"198-194903-360906, 3"
199,"199, 2"
200,"200, 1"
201,"201-4060-17801-22963-29354-32129-58057-66410-87399-94480-104000-284402-291787-307533-337149-373534-403554-409992, 32"
202,"202, 1"
203,"203, 0"
204,"204-3869-11043-22817-61387-212977-254444-254647-260819-320826-324003-336670-374217, 23"
205,"205-559-850-51845-215655-252724-354483-372904-465114, 24"
206,"206, 3"
207,"207-307378, 4"
208,"208-303253-316869, 1"
209,"209-7891-98235-128312-444182-459237, 10"
210,"210-402055, 5"
211,"211, 2"
212,"212, 0"
213,"213-96857-480259, 7"
214,"214, 4"
215,"215, 3"
216,"216, 4"
217,"217-326355-487124-489730, 9"
218,"218, 1"
219,"219-380008, 0"
220,"220, 2"
221,"221-64580-163948-334244, 7"
222,"222-2787-9181-17960-33581-147881-272867-296001-420735-422982-445542-458888-464908, 27"
223,"223-91460-301712, 6"
224,"224-817-51435-316595, 8"
225,"225-252674-393542, 5"
226,"226, 4"
227,"227-46904-57523-104845-344710, 10"
228,"228-236443-490834, 3"
229,"229-260663, 1"
230,"230-190456-272016, 4"
231,"231-58285-222589-230055-254384, 16"
232,"232-203968-327056-347654-469710, 12"
233,"233-484879, 3"
234,"234-34171-165732-233819-454479, 14"
235,"235-85009-141554-198545-314321-346872-363038-413468, 6"
236,"236-23828-87237-87239-169662-351448, 8"
237,"237-22245-78477-249023-368510-409086-440015-474266, 9"
238,"238-236143, 4"
239,"239, 3"
240,"240-157468-347261-378121-462828, 7"
241,"241-168214, 2"
242,"242-33469, 4"
243,"243-386227-390625, 6"
244,"244-155428-218572-458207, 10"
245,"245-170587, 8"
246,"27-246-41540-112494-158446-237701-259786, 14"
247,"247-184678-261881-302311-328828-471943, 11"
248,"248-42707-97987-343852, 6"
249,"249-801-30407-329017-337064-442715, 10"
250,"250-75916-76487-81701-328642-417767, 14"
251,"251, 0"
252,"252-67049-118239-292410-308573-335694, 13"
253,"253-318964-416594, 4"
254,"254, 3"
255,"255-288-3008-58526-65707-123556-125574-273552-338481-428798-462239, 25"
256,"256-25739-49881-212604-344882-458681, 11"
257,"257, 4"
258,"258-27758-203138-338962-471352, 11"
259,"259-276554-461696, 5"
260,"260-67280-103180-217219-295684-316414-490607, 13"
261,"261-357027-443063, 6"
262,"262-218895, 0"
263,"263-55696-87172-91553-158352-366661-475711, 13"
264,"264-212081-380046, 5"
265,"265-191908-279153-405957, 9"
266,"266-200823-267604-321344, 7"
267,"267-9538-235176-259952-272626-319700-485289, 21"
268,"268, 4"
269,"269, 4"
270,"270-190603, 5"
271,"271-44474-83654-349833, 3"
272,"272, 1"
273,"273, 4"
274,"274-190245, 3"
275,"275-326298, 5"
276,"276-408958-451746, 8"
277,"277, 4"
278,"278-267037, 4"
279,"279, 0"
280,"280-5821-92383-97338-139139-422180-491944, 11"
281,"281-97617, 3"
282,"282-2369-31935-63210, 5"
283,"283, 3"
284,"284-461926, 5"
285,"285, 3"
286,"286, 1"
287,"287, 1"
288,"255-288-3008-58526-65707-123556-125574-273552-338481-428798-462239, 25"
289,"289-434889, 6"
290,"290-467081, 1"
291,"291-1127, 3"
292,"292, 2"
293,"293, 2"
294,"109-294-237280, 11"
295,"295-423761, 3"
296,"296, 4"
297,"297-2878-77480-102266-116938-127104-139408-326989-483374, 17"
298,"298, 3"
299,"299-24503-62954-79753-160035-318065-330989, 13"
300,"300, 4"
301,"301, 2"
302,"302, 4"
303,"303-108436-108655-171494-256206, 12"
304,"304, 2"
305,"305-48930, 1"
306,"306-2224, 7"
307,"307-2483-34074-84840-131110-313569, 10"
308,"308-13146-73086-146543-410105-448492, 8"
309,"309, 3"
310,"310, 3"
311,"311, 1"
312,"312-45749-196459-274103-339839-431159-487638, 11"
313,"313-107387-110997-154388-449288, 10"
314,"314, 3"
315,"315-22526, 3"
316,"316-54997-144240-233813-273540-317161, 7"
317,"317-311774, 2"
318,"318-5762, 2"
319,"319, 1"
320,"320-1480-7918-44840-52395-73227-142452-168748-206459-254348-367533-455199, 21"
321,"321, 1"
322,"322-32512-119851-189118-265917-280156-405305-408187, 26"
323,"323, 1"
324,"324-39182-39366-299746-322274-406160-433055, 15"
325,"325-48332-122497-265293, 9"
326,"326-495698, 5"
327,"327-1305-17714-40292-65589-141809-292534-293371-323771-337542-440489-472944-474489, 20"
328,"328, 0"
329,"329, 3"
330,"330, 2"
331,"331, 0"
332,"332, 0"
333,"333-182251-441951, 7"
334,"334-82081-165951-169482-252260-292013-337611-384231-474329, 11"
335,"71-335-2441-3783-10088-23134-48539-63028-87600-110495-125054-145501-152973-169975-171236-181647-213907-232849-238913-251219-263203-266190-301846-382923-397815-459512-478605, 61"
336,"336, 0"
337,"337, 3"
338,"338-56044-81500-380656, 6"
339,"339-62929-119263-129288-144989-163746-187586-234861-242331-280975-283146-316339-331363-355586-382752-396916-431625-439974-467010-489097, 39"
340,"340-29567-53344-60135-118442-244959-253262-350383-497541, 17"
341,"341-264598, 1"
342,"342, 2"
343,"343-111404-270553, 11"
344,"344, 3"
345,"345-95369-165023-179212-218233-262059-319785-335800-378816-463930-473232, 19"
346,"346-35262-158341-181020-182431-203102-215940-239664-260453-266863-293118-410564-429059-434630-439120, 32"
347,"347-1514, 1"
348,"348-93886-97077-312411, 7"
349,"349, 1"
350,"350, 0"
351,"351-59225, 1"
352,"352-335262, 0"
353,"353-41012, 5"
354,"354-249524, 5"
355,"355, 0"
356,"356-203920, 4"
357,"357-313121, 4"
358,"358-103076-437867-469004, 7"
359,"359-140407-375821, 5"
360,"360-254944, 1"
361,"361-172826, 6"
362,"362, 3"
363,"363-17643-46868-87603-87616-291558, 7"
364,"364, 4"
365,"365-409228, 3"
366,"366, 3"
367,"367, 3"
368,"368-109945-213909-411281, 3"
369,"369-169696-193546, 7"
370,"370-9947-10507-17212-58652-60959-159861-175804-180515-335008-358155-360968-366199-414961-494608, 27"
371,"371, 1"
372,"372-49667-98893-231382-241899-248868-291966-461810, 17"
373,"373, 2"
374,"374-160906-228844, 7"
375,"375-238067, 1"
376,"376-416-77441-180802-380155, 9"
377,"377, 1"
378,"378-26718-66787-114967-194117-493306, 8"
379,"379-35435-72646-307540-371598, 11"
380,"380-12057-33029-41545-251427-296297-407847-481539, 14"
381,"381, 4"
382,"382-230455-276269, 2"
383,"383-349010-353347-402540-489116, 9"
384,"384-166008-187039-354294, 8"
385,"385, 1"
386,"168-386-209740-392461, 12"
387,"387-468001, 7"
388,"388, 2"
389,"389, 2"
390,"390, 0"
391,"391-41808-97714-230594, 4"
392,"392, 1"
393,"393, 1"
394,"394, 1"
395,"395-39473-40930-58392-84190-124259-143082-288969-296779-300121, 14"
396,"396-141529-154204-245805-441342-475761, 14"
397,"397, 3"
398,"398-23104, 0"
399,"399, 0"
400,"400-180483, 7"
401,"401, 3"
402,"402-11943-33751-70530-81836-157932-245844-321121-362943-423411-465685, 22"
403,"403-5699-47039-53187-153835-348074-375581-431208-484876-488273, 17"
404,"404-389774, 2"
405,"405-28864-46823-84693-147256-169875-209136-251711-302310-329368-361494-373575-384360-447578-463663, 22"
406,"406, 3"
407,"407-289697-415319, 7"
408,"408-71980, 2"
409,"409-1443-24115-32095-67378-82007-199161-203471-213889-215035-238074-326401-345007-412352-468485, 24"
410,"410-239451, 3"
411,"411-27210-240255-328377-491794, 6"
412,"412-4731, 3"
413,"413-227511-343113-348366, 11"
414,"414-148438-279759-457089, 6"
415,"415, 4"
416,"376-416-77441-180802-380155, 9"
417,"417-115316-275731, 6"
418,"418-187898-225568, 2"
419,"419-42039-118120-118961-124631-264363, 12"
420,"420, 2"
421,"421-114806, 2"
422,"422-418207, 4"
423,"423-3049-93058-124282-125187-158447-387779-417980, 12"
424,"424-409260, 1"
425,"425-303099-303576-337781-491693, 6"
426,"426, 0"
427,"427, 0"
428,"428-92228-135499-298946-477672, 11"
429,"429-33819-60658-66412-92028-94191-167056-207117-218669-234261-255817-333625-339352-347082-360345-366596-383684-396170-399331-418173-460551-491203, 43"
430,"430-280037-473852, 9"
431,"431, 1"
432,"432-28676-111041-154616-352386-407998, 13"
433,"433-123555-169963-232396-238394-373079-389054, 14"
434,"434-10732-20159-23427-74870-96491-102021-161740-166747-250836-262859-275394-362287-375317-426557-437946-463639-486755, 30"
435,"435-2408-3757-4829-22841-62514-68592-99674-131848-165869-172713-226833-240261-246278-281886-304149-308064-315035-324726-359886-406423-421376-427413-433845-444498-464122-476130-486704-490165, 67"
436,"436, 0"
437,"437, 0"
438,"438-252495, 0"
439,"439-60384-85904-89397-180416-215475-314377-349943-436393, 18"
440,"440, 2"
441,"441-17374-407060, 7"
442,"442-331003, 3"
443,"443-11616-252424-396659, 6"
444,"444-36170-36286-47700-132601-175482-205249-256797-402930-408997-442357, 23"
445,"445-147951-463753, 8"
446,"446, 1"
447,"447, 0"
448,"448-4195-28624-36117-230052-319910, 15"
449,"449-37318, 1"
450,"450, 3"
451,"451-33109-257117, 3"
452,"452-20104, 3"
453,"453-614-1067-37425-216954-255726-427041-479976, 9"
454,"454, 0"
455,"455, 0"
456,"456-1927-13912-29763-314678, 11"
457,"457-219497, 6"
458,"458-112268, 6"
459,"33-459-46643-117352-269224-499013, 13"
460,"460-332991-361136-487349, 7"
461,"461-102737-128188-359210-395991, 8"
462,"462-236650-360242-447282, 9"
463,"463-10760-25354-44340-66795-177083-214423-247857-282914-303499-311305-369548-377430-445095, 38"
464,"464-160787-222908-406323, 10"
465,"107-465-178290-280212-316970, 12"
466,"466-99430-460410-496986, 10"
467,"467-28326-57955-62041-77440-102257-226362-258846-328582, 13"
468,"468-25546-189982-310021, 8"
469,"469, 2"
470,"470, 4"
471,"471-235070, 3"
472,"472, 4"
473,"473-193388-446441, 10"
474,"474, 2"
475,"475, 0"
476,"476, 2"
477,"477-323356, 4"
478,"478-21965-31756-162693, 5"
479,"479-375311-411153, 3"
480,"480-5741-22455-192208-287876-338096-358072-462278-493854-499059, 27"
481,"481, 4"
482,"482-314173, 8"
483,"483-86872-388949-438463, 11"
484,"484-307287, 4"
485,"485, 0"
486,"486, 2"
487,"487-49612-81565-157448-475966, 13"
488,"488-11777-13531-79149-229409-305072-359626, 10"
489,"489, 3"
490,"490-159196, 4"
491,"491-313193-338161-350000, 6"
492,"492-11635-24611-273094-340286, 16"
493,"493-81681-127177-240528-302741, 4"
494,"494, 1"
495,"495, 3"
496,"496, 0"
497,"497-141929, 3"
498,"498-45940-374447-376465, 8"
499,"499, 4"
500,"500-41473-131552, 6"
501,"501, 1"
502,"502-327256-351258-353206-381138-392235, 7"
503,"503-60670-179927-417856, 8"
504,"504-300586, 2"
505,"505, 2"
506,"506, 0"
507,"507-191670-347502-456667, 12"
508,"508-190545, 4"
509,"509-20781-174724, 4"
510,"510-346427, 6"
511,"511-188228, 5"
512,"512, 1"
513,"513, 4"
514,"514-39575-230363-434667-477945, 13"
515,"515-164569-289232, 2"
516,"516-467155, 3"
517,"517-64638-161035-285274-306324-323452-372323-376413, 16"
518,"518-413056, 4"
519,"519, 3"
520,"520, 4"
521,"521-209133, 3"
522,"522-448567, 4"
523,"523, 0"
524,"524-151737-236099-418280-435462, 16"
525,"525-145035-276217, 9"
526,"526-1227-22224-29530-41961-97082-122596-324814-330206-456235, 18"
527,"527, 4"
528,"528-217217-249033-271971-360868, 15"
529,"529-429313, 8"
530,"530, 4"
531,"531-404051, 7"
532,"532, 2"
533,"533-217340-420800-493102, 8"
534,"534-20490-402455-423806, 10"
535,"535-55549-152814-206314-285141-366713-412817-423593-481349-496518, 22"
536,"536-181541, 2"
537,"537-9822-129071, 9"
538,"538-206101-239171-495924, 14"
539,"539-35136-47267-80631-235689-253369-273994, 8"
540,"540-1604-7020-35672-43011-80757-135340-165012-210385-242184-267176-303489-359402-390985-399688-416069-431063, 28"
541,"541-178994, 2"
542,"542-28928-127112-236528, 6"
543,"543-26943-411938, 6"
544,"544, 0"
545,"545, 3"
546,"546-14176-379370-407625-484124, 12"
547,"547-141214-158946-167193-182754-229438-254240-255004-286886-331327-469314, 18"
548,"548, 4"
549,"549-225394-263288, 5"
550,"550-36763-462470, 10"
551,"551, 2"
552,"552-248397, 0"
553,"553, 4"
554,"554, 0"
555,"555-1295-405463, 5"
556,"556-162407, 6"
557,"557-21830-27438-181639-253736-346507-410792, 22"
558,"558-150016-160938-165823-384630-396462-399433-427734-480272, 14"
559,"205-559-850-51845-215655-252724-354483-372904-465114, 24"
560,"560-190564, 5"
561,"561-252769, 5"
562,"562, 3"
563,"563, 0"
564,"564-3291-489868, 7"
565,"565-34215-44561-94948-114997-164495-165069-170375-200225-200917-244188-341108-371250-397849, 23"
566,"566, 2"
567,"567-292433-413290-435817-495350, 3"
568,"568-13659-85792, 4"
569,"569-321785, 6"
570,"570-74358-364222, 2"
571,"571-27743-97997-117686-151346-188477-336615-451034, 14"
572,"572, 3"
573,"573, 0"
574,"574-624-15494-20248-28672-184721-300273-302155-330799-372761-375542-447379, 26"
575,"575, 3"
576,"576-62127-114122-266855-293698-364332-384088, 13"
577,"577, 2"
578,"578-343978, 7"
579,"579-115513-218817-420803, 10"
580,"580-95331-146464-401293, 10"
581,"581-261099, 0"
582,"582-15568-40271-427696-429996-440919-476928, 20"
583,"583, 4"
584,"584-385073, 7"
585,"585-10471-167525-194684-259784-363786, 7"
586,"586-79310, 2"
587,"587, 4"
588,"588-90011-295197-485695, 15"
589,"589, 0"
590,"590-343089, 6"
591,"591, 4"
592,"592-306360-412630, 8"
593,"593, 0"
594,"594-28339, 2"
595,"595-158229-191199-358811, 12"
596,"596-356634, 4"
597,"597-382548-480264, 1"
598,"598-26848-106085-118727-184551-260822-267012-291735-302324-346043-440431, 23"
599,"599-34194-70484-88474-180896-265284-395886, 14"
600,"600-338672, 6"
601,"601-102708-134000-241487-247549-270484-300025-333961-335261-382583-398979-403870-409751-423274-450425, 37"
602,"602-5410, 5"
603,"603-5623-8683-69427-70967-141248-159549-160277-193937-241546-311348-348895-360750-414571-497689, 38"
604,"604-436665, 4"
605,"605-227309, 7"
606,"606-327210-485559, 7"
607,"607-34143-48181-68949-148910-262318-317815-361259-365417-391531-433188-439827-455700-485486-491028-492331, 35"
608,"608-141892, 3"
609,"609-52574-175015, 4"
610,"610-203549, 4"
611,"611, 3"
612,"612-222027, 8"
613,"613-10373-16584-265652, 6"
614,"453-614-1067-37425-216954-255726-427041-479976, 9"
615,"615-935-156756-170720-396128, 12"
616,"616, 4"
617,"617-43717-45046-56604-123798-131466-220355-251693-302555-344922-412904-466579, 21"
618,"618, 2"
619,"619-238610, 8"
620,"620, 1"
621,"621-17884-330172, 8"
622,"622-2793-93152-97107-287024-346662, 8"
623,"623-5637-403088, 7"
624,"574-624-15494-20248-28672-184721-300273-302155-330799-372761-375542-447379, 26"
625,"625-41299-96928-392684-447398, 19"
626,"626-153127-432385-442144, 9"
627,"627, 1"
628,"628, 2"
629,"629-27809-252223-252689, 8"
630,"630-256442, 0"
631,"631, 1"
632,"632-145714-295141, 8"
633,"633-327156-355912-472010, 8"
634,"634-449538, 1"
635,"635, 0"
636,"636-7594-177009, 1"
637,"637, 1"
638,"638, 2"
639,"639-42490-217805-305153-346355-359800, 12"
640,"640, 2"
641,"641-17872-129391-270263-309207-316617-320376-334338-430104-469724, 6"
642,"642-108298-130103, 7"
643,"643-63502, 5"
644,"644-68664-215086, 3"
645,"645-43889-60133-156057-184365-189485-243246-252379-253676-431700-442589, 22"
646,"646-17621-48954-80732-138683-145286-153466-177035-212705-295043-295362-324769, 18"
647,"647, 3"
648,"648-28715-61414-82635-83169-85566-257136-260109-268972-284890-338340-397559-448336-466195, 15"
649,"649-103153-305282-380426-380834, 11"
650,"650-198275-445891-475056, 1"
651,"651-302067, 6"
652,"652-5334-288380, 7"
653,"653, 3"
654,"654-398495, 0"
655,"655-131240-158351-248099, 12"
656,"656-164097-217675-354106, 12"
657,"657-157814, 2"
658,"658-7909-204700, 9"
659,"659-320888, 6"
660,"660-58988-81422-192814-345602-426850, 12"
661,"661-119049-124948-182353-279049-340793-354340-359489-438365-475080, 17"
662,"662-250291, 6"
663,"663, 4"
664,"664-67983-71131-81050-133896-147803-161627-335385-369006-472455, 19"
665,"665-127241, 7"
666,"666, 1"
667,"667-77876, 4"
668,"668-1057-225487-329331-459608, 9"
669,"669, 3"
670,"670-68662-433210, 5"
671,"671, 1"
672,"672, 0"
673,"673, 1"
674,"674-360894-417626, 2"
675,"675, 4"
676,"676, 4"
677,"677, 2"
678,"678, 1"
679,"679-15853-39242-97913-106517-111359-139396-207987-264866-271253-361730-389523-409004-419866-491111, 35"
680,"680-27216-52479-55051-128736-222544-463816-492867, 15"
681,"681, 4"
682,"682-1340-40150-50789-92378-120892-128189-218699-256524-310167-324005-355353-449356-457283-460657-462116, 38"
683,"683-47004-119552-146883-147010-168711-255761-283221-405632-467379, 14"
684,"684-474176, 5"
685,"685-123490, 3"
686,"686-205960, 3"
687,"687-74473-96122-120563-203224-264346-265606-277704-417107, 1"
688,"688-29955-51020-168413-220550-260949-303155-323772-327983-420455-432272-460470-490520, 29"
689,"689, 1"
690,"690-25521-121556-159113-181428-181655-194039-248378-252286-266319-297560-303547-427475-458265, 24"
691,"691-472091, 3"
692,"692-96288-161281-215842-272930-351538, 8"
693,"693, 3"
694,"694, 2"
695,"695-47120, 5"
696,"696, 3"
697,"697-498354, 5"
698,"698-85390-141256-143451-146188-268565-282283-341872-371792-374018-386421-423817-425757-496552, 29"
699,"699, 4"
700,"700-2291-334741, 6"
701,"701, 3"
702,"702, 1"
703,"703-14859-32208-264859-302102-346604-433594-459469, 13"
704,"704-6138-30670, 8"
705,"705-51813-90008-132825-147579-349399, 12"
706,"706, 1"
707,"707-30652-38108-71684-74971-220634-357212, 21"
708,"708-134928-157003-319128, 5"
709,"709-101018-204704, 9"
710,"710-13820-23223-119146-217939-269314-302409-358546-391586-447393, 18"
711,"711, 2"
712,"712-67996-193097-376797-394776-401705-461774, 17"
713,"713, 3"
714,"714, 3"
715,"715-2128-14462-18880-28445-94434-142746-181276-255456-444191-450785-483608, 26"
716,"716, 2"
717,"717-10774-30266-50012-199557-230125-342028-394580-452270, 24"
718,"718-5124-42101, 9"
719,"719-240731, 3"
720,"720, 0"
721,"721-50391-119385-374607-464240, 12"
722,"722, 0"
723,"723-1567-6727-63170, 7"
724,"724-10795-27069-54556-164359-186714-227024-319104-333002-398582, 11"
725,"725, 3"
726,"726-204492, 2"
727,"727-2014-25720-333833-388151-399560-413013-433144, 12"
728,"728-107984-118380-148316-219899-292689-389282-398063-412868, 23"
729,"729, 0"
730,"730, 2"
731,"731-184775-188298-303473, 9"
732,"732-3385-46671-133793-183045-183604-205749-240171-249767-272851-289589-291144-335147-352406-437736-456573, 29"
733,"733, 1"
734,"734-26569, 3"
735,"735, 4"
736,"736, 2"
737,"737-1807, 5"
738,"738, 2"
739,"739, 1"
740,"740-246935-418458, 3"
741,"741-371751, 6"
742,"742-5290-152492-153403-163881-186066-276749-282562-310340-348576-351841, 24"
743,"743, 3"
744,"744-15036-120186-140429-173841-190956-221046-278114-278441-338508-344835, 19"
745,"745-216973, 3"
746,"746-129051-136767, 5"
747,"747-493002, 7"
748,"748-4185-11233-29966-102688-174015-216661-226857-380736-475491-476943, 20"
749,"749-114507, 5"
750,"750-186022-290337-462286, 9"
751,"751, 1"
752,"752, 3"
753,"753-47319-134528-408904, 8"
754,"754, 0"
755,"755-2238-9559-206231-373870-392413-398026, 23"
756,"756, 0"
757,"757-9698-46502-66595-69356-102388-184949-221247-363828-422520-425965-456467-490910, 30"
758,"758-96951, 4"
759,"759-466426, 6"
760,"760-7405-32542-36387-348252, 10"
761,"761-168359, 6"
762,"762-3168-62600-473325, 11"
763,"763-3726-23667-24264-30723-60234-72060-88083-141639-205460-237008-244159-250406-260885-263042-324774-376399-422827-457577, 37"
764,"764-120875-299473-369691-449515, 6"
765,"765-22189, 0"
766,"766-42350-98731-177822-204802-250587-258790-271959-327812-350635-373475-396253-407929, 11"
767,"767-2395-50677-223873-272141, 7"
768,"768, 2"
769,"769, 1"
770,"770-266798-289400, 4"
771,"771, 1"
772,"772, 4"
